var	start	end	width	descr
TESTUDPAD	326	327	2	Tipo de estudios realizados
CONLENPAD	328	328	1	Conocimiento de la lengua propia
SITUPAD	329	330	2	Situación preferente
COCUPPAD	331	332	2	Código de ocupación
SITPPAD	333	333	1	Situación profesional
COACTIPAD	334	335	2	Código de actividad
CSEPAD	336	337	2	Condición socioeconómica
ANACMAD	338	341	4	Año de nacimiento
EDADMAD	342	344	3	Edad
ECIVILMAD	345	345	1	Estado civil
NACIMAD	346	348	3	País de nacionalidad
CPRONMAD	349	350	2	Código provincia de nacimiento
CMUNNMAD	351	353	3	Código o tamaño municipio (o país) de nacimiento
ESREALMAD	354	355	2	Nivel de estudios
TESTUDMAD	356	357	2	Tipo de estudios realizados
CONLENMAD	358	358	1	Conocimiento de la lengua propia
SITUMAD	359	360	2	Situación preferente
COCUPMAD	361	362	2	Código de ocupación
SITPMAD	363	363	1	Situación profesional
COACTIMAD	364	365	2	Código de actividad
CSEMAD	366	367	2	Condición socioeconómica
SEXOCON	368	368	1	Sexo
ANACCON	369	372	4	Año de nacimiento
EDADCON	373	375	3	Edad
ECIVILCON	376	376	1	Estado civil
NACICON	377	379	3	País de nacionalidad
CPRONCON	380	381	2	Código provincia de nacimiento
CMUNNCON	382	384	3	Código o tamaño municipio (o país) de nacimiento
ESREALCON	385	386	2	Nivel de estudios
TESTUDCON	387	388	2	Tipo de estudios realizados
CONLENCON	389	389	1	Conocimiento de la lengua propia
SITUCON	390	391	2	Situación preferente
COCUPCON	392	393	2	Código de ocupación
SITPCON	394	394	1	Situación profesional
COACTICON	395	396	2	Código de actividad
CSECON	397	398	2	Condición socioeconómica
TNUCF	399	399	1	Tipo de núcleo
TAMNUCF	400	401	2	Tamaño del núcleo
NHIJO	402	403	2	Número de hijos
NHIJNUC04	404	405	2	Número de hijos entre 0 y 4 años
NHIJNUC59	406	407	2	Número de hijos entre 5 y 9 años
NHIJNUC1014	408	409	2	Número de hijos entre 10 y 14 años
NHIJNUC15	410	411	2	Número de hijos de 15 años
NHIJNUC1519	412	413	2	Número de hijos entre 15 y 19 años
NHIJNUC2024	414	415	2	Número de hijos entre 20 y 24 años
NHIJNUC2529	416	417	2	Número de hijos entre 25 y 29 años
NHIJNUC30	418	419	2	Número de hijos de 30 y más años
FAMNUM	420	420	1	Indicador de familia numerosa
OCNUC	421	422	2	Número de ocupados en el núcleo
PANUC	423	424	2	Número de parados en el núcleo
TIPOPARECIV	425	425	1	Tipo de pareja(de hecho o de derecho)
TIPOPARSEX	426	426	1	Tipo de pareja(mismo sexo, distinto sexo)
COMBNACIN	427	427	1	Combinación de nacionalidades en el núcleo
